City,Latitude,Longitude,Property_Type,Ownership,Condition,Available_Utilities,Bedrooms,Bathrooms,Size_sqm,Price_NGN
Abuja,9.09773,7.36341,Mini Flat,Sale,Fairly Used,Parking,6.0,3.0,264.0,239353117.0
Abuja,9.08559,7.41636,Detached House,Sale,Fairly Used,Internet,4.0,1.0,377.0,217812394.0
Lagos,6.53791,3.33373,Apartment,Sale,Old,Security,4.0,4.0,375.0,280261754.0
Kano,11.98703,8.63556,Detached House,Rent,New,Security,2.0,1.0,496.0,59658082.0
Abuja,9.06816,7.40672,Studio,Sale,Fairly Used,Electricity,2.0,3.0,44.0,6385088.0
Kano,11.99595,8.63232,Duplx,Sale,New,Parking,4.0,2.0,120.0,199694780.0
Jos,9.86982,8.84259,Detached House,Sale,New,Security,5.0,2.0,150.0,480373877.0
Ibadan,7.41257,3.9716,Detached House,Sale,Old,Internet,1.0,2.0,586.0,414979039.0
Benin city,6.36766,5.61245,Appartment,Rent,New,Water,2.0,2.0,152.0,129980894.0
Lagos,6.55178,3.36548,Duplex,Rent,Fairly Used,Electricity,6.0,4.0,197.0,474123994.0
Kano,11.97064,8.55093,Appartment,Sale,New,Parking,3.0,4.0,152.0,70168486.0
Port harcourt,4.86271,7.09423,Duplx,Sale,Fairly Used,Security,3.0,2.0,565.0,12822814.0
Ibadan,7.33808,3.9669,Detached House,Rent,Fairly Used,Security,2.0,1.0,70.0,16720937.0
Ibadan,7.3721,3.96176,Appartment,Rent,Fairly Used,Parking,3.0,1.0,118.0,304624825.0
Benin city,6.29428,5.61079,Studio,Sale,New,Security,1.0,2.0,41.0,14851424.0
Ibadan,7.39942,3.91985,Studio,Sale,Fairly Used,Internet,2.0,3.0,484.0,43654364.0
Maiduguri,11.80878,13.16024,Detached House,Rent,New,Electricity,2.0,4.0,60.0,13950831.0
Enugu,6.56926,7.48385,Appartment,Rent,Old,Internet,5.0,4.0,344.0,345353495.0
Jos,9.9151,8.81004,Appartment,Rent,Fairly Used,Water,3.0,2.0,333.0,3284790.0
Enugu,6.54018,7.55854,Appartment,Sale,Old,Water,5.0,1.0,528.0,15199203.0
Port harcourt,4.82226,7.0389,Apartment,Sale,New,Internet,2.0,1.0,255.0,414229613.0
