Title,Price,Location,Description
"1bdrm House in Sango, Ibadan, Samonda for sale","₦ 3,500,000",Samonda,"Commercial property/ shop sale for sale at Ibadan, Sango, Oyo state Nigera. Not personal toilets...."
Mini Flat in Ibadan Polytechnic/University for sale,"₦ 34,000,000",Ibadan Polytechnic/University,3 units mini flat on a full standard plot of land. Running water Prepaid meter Easy access to road
"3bdrm Duplex in Adetokun Ologuneru, Ibadan for sale","₦ 100,000,000",Ibadan,For Sale Newly built detached 3 bedroom duplex near the road with a swimming pool at Location:...
3bdrm Bungalow in Ibadan for sale,"₦ 18,000,000",Ibadan,"Newly Built 3 bedroom flat for sale at Awotan, Apete Ibadan. Features - Access road -..."
"5bdrm Duplex in Calton Gate, Akobo for sale","₦ 210,000,000",Akobo,"For sale ## luxury 5 beds duplex for sale! *location:* carlton gate estate, akobo, ibadan *title:*..."
"4bdrm Bungalow in Avocado Estate, Akala Express for sale","₦ 45,000,000",Akala Express,For ale 4bedroom duplex at avocado estate behind Asunle off tipper garage Akala express Ibadan...
4bdrm Duplex in Basorun for sale,"₦ 170,000,000",Basorun,4 Bedroom duplex at gated estate Lere Adigun GRA Basorun ibadan Newly Built 4 Beds Semi-Detached...
"4bdrm Bungalow in Shalom Estate, Abela, Idishin for sale","₦ 87,125,000",Idishin,"In a serenable well layout estate is this spacious ,well furnished, tastefully built 4 bedroom..."
"Furnished 4bdrm Bungalow in Promise Land Est,, Akala Express for sale","₦ 85,000,000",Akala Express,Furnished 4 bedroom modern bungalow with 2 sitting rooms and sophisticated imported...
"Furnished 4bdrm Duplex in New Garage, Akala Express for sale","₦ 200,000,000",Akala Express,"Fully furnished, spacious & modern 4 bedroom detached duplex plus a 2-bedroom flat plus 2-rooms..."
"3bdrm Duplex in Carlton Gate Estate, Ibadan for sale","₦ 120,000,000",Ibadan,"*Exclusive Direct Sale * A 3-bedroom semi-detached duplex with a room BQ, 3.5kva solar inverter..."
